Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,language,languageOfSummary,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,Database
"New Jets offensive lineman Greg Van Roten, family thrilled he's playing for childhood team",,2382014325,Newspapers,"Iannazzone, Al",," Copyright Newsday LLC Mar 24, 2020", News," Mar 24, 2020", English, English," Long Island, N.Y.","Mar 24, 2020",Newsday,2020,https://search.proquest.com/docview/2382014325?accountid=37869, 38," COVID-19 , South Carolina , Long Island New York",,"eLibrary,U.S. Newsstream"
"Wedding day, wedding delay: Virus measures force LI couples to change plans",,2381969062,Newspapers,"Calavia-Robertson, Daysi;Parrish, Tory N",," Copyright Newsday LLC Mar 24, 2020", News," Mar 24, 2020", English, English," Long Island, N.Y.","Mar 24, 2020",Newsday,2020,https://search.proquest.com/docview/2381969062?accountid=37869, 12," Social networks , Weddings , Layoffs , Rites & ceremonies , Marriage , Coronaviruses , Employees , Planning , COVID-19 , New York , Long Island New York",,"eLibrary,U.S. Newsstream"
Nassau succession plan,,2381484740,Newspapers,"Ferrette, Candice",," Copyright Newsday LLC Mar 23, 2020", News," Mar 23, 2020", English, English," Long Island, N.Y.","Mar 23, 2020",Newsday,2020,https://search.proquest.com/docview/2381484740?accountid=37869, 12," County executives , Coronaviruses , Pandemics , COVID-19 , Curran, Laura",,"eLibrary,U.S. Newsstream"
"Keeping past ALIVE online: Facebook groups are an avenue for nostalgia, community",,2380551738,Newspapers,"Redding, Kevin J",," Copyright Newsday LLC Mar 22, 2020", News," Mar 22, 2020", English, English," Long Island, N.Y.","Mar 22, 2020",Newsday,2020,https://search.proquest.com/docview/2380551738?accountid=37869, 2," Social networks , Fires , Parks & recreation areas , Motion pictures , Coronaviruses , COVID-19 , Long Island New York",,"eLibrary,U.S. Newsstream"
FEDERAL SENTENCINGS CANCELED IN CENTRAL ISLIP,,2379991479,Newspapers,"Kessler, Robert E",," Copyright Newsday LLC Mar 21, 2020", News," Mar 21, 2020", English, English," Long Island, N.Y.","Mar 21, 2020",Newsday,2020,https://search.proquest.com/docview/2379991479?accountid=37869, 11," Criminal sentences , Public prosecutors , Fraud , Florida",,"eLibrary,U.S. Newsstream"
Around LI,,2378656094,Newspapers,,," Copyright Newsday LLC Mar 19, 2020", News," Mar 19, 2020", English, English," Long Island, N.Y.","Mar 19, 2020",Newsday,2020,https://search.proquest.com/docview/2378656094?accountid=37869, 24," Community , School superintendents , School closures",,"eLibrary,U.S. Newsstream"
Is $158M bond issue vote on?: School district to alert community early on Tuesday,,2377614586,Newspapers,"Hildebrand, John",," Copyright Newsday LLC Mar 17, 2020", News," Mar 17, 2020", English, English," Long Island, N.Y.","Mar 17, 2020",Newsday,2020,https://search.proquest.com/docview/2377614586?accountid=37869, 20," Bond issues , School districts",,"eLibrary,U.S. Newsstream"
Debate over how best to handle deer,,2377024873,Newspapers,," National Park Service-US
924120"," Copyright Newsday LLC Mar 15, 2020", News," Mar 15, 2020", English, English," Long Island, N.Y.","Mar 15, 2020",Newsday,2020,https://search.proquest.com/docview/2377024873?accountid=37869, 30," Animal populations , Deer , Fire Island",,"eLibrary,U.S. Newsstream"
Characters we've met on LI: We've compiled a list of the most memorable Long Island movie characters of all time - from the Corleones to Gatsby,,2377024858,Newspapers,"Guzmán, Rafer"," Twisted Sister
711130 , Gold Coast Studios
512110 , Hofstra University
611310 , Temple Beth El
813110 , Coast International
517311"," Copyright Newsday LLC Mar 15, 2020", News," Mar 15, 2020", English, English," Long Island, N.Y.","Mar 15, 2020",Newsday,2020,https://search.proquest.com/docview/2377024858?accountid=37869, 6," Motion picture directors & producers , Film & stage music , Krasner, Lee , Carrey, Jim , Sonnenfeld, Barry , Caan, James , Isaacs, Susan , Kidder, Margot , Long Island New York , Redford, Robert , Hepburn, Audrey , Bogart, Humphrey , Cooper, Bradley , Mantegna, Joe , Harden, Marcia Gay , New York , Brolin, James , Coppola, Francis Ford , Sandler, Adam , Vietnam , Bozek, Mark , DiCaprio, Leonardo , Puzo, Mario (1920-99) , Stern, Howard , Luhrmann, Baz , Fitzgerald, F Scott (1896-1940) , Harris, Ed , Cruise, Tom , Scorsese, Martin , Sarandon, Susan",,"eLibrary,U.S. Newsstream"
VS DISTRICT ON TARGET IN RIFLERY: SECOND IN STATE CHAMPIONSHIP AT WEST POINT,,2377024854,Newspapers,"Boell, John",," Copyright Newsday LLC Mar 15, 2020", News," Mar 15, 2020", English, English," Long Island, N.Y.","Mar 15, 2020",Newsday,2020,https://search.proquest.com/docview/2377024854?accountid=37869, 44," Athletes , Tournaments & championships , Coaches & managers , Awards & honors , Secondary schools , United States--US , Long Island New York",,"eLibrary,U.S. Newsstream"
"'MERGING VETS' OPENS NEW YORK CHAPTER: GLAZER, OTHERS HELPING COMBAT VETS, PLAYERS NAVIGATE LIFE TRANSITION",,2377024842,Newspapers,"Best, Neil"," National Football League--NFL
711211
813990"," Copyright Newsday LLC Mar 15, 2020", News," Mar 15, 2020", English, English," Long Island, N.Y.","Mar 15, 2020",Newsday,2020,https://search.proquest.com/docview/2377024842?accountid=37869, 46," Professional football , Veterans , Women , Suicides & suicide attempts , Chicago Illinois , New York , Strahan, Michael , Iraq , Afghanistan , Goodell, Roger , Los Angeles California , Glazer, Jay , Couture, Randy , Gonzalez, Tony , Las Vegas Nevada , Atlanta Georgia",,"eLibrary,U.S. Newsstream"
"Virus spurs more closures, cancellations",,2376545136,Newspapers,,," Copyright Newsday LLC Mar 13, 2020", News," Mar 13, 2020", English, English," Long Island, N.Y.","Mar 13, 2020",Newsday,2020,https://search.proquest.com/docview/2376545136?accountid=37869, 6," Public libraries , Meals , Adult day care , Senior citizen centers , COVID-19 , Long Island New York",,"eLibrary,U.S. Newsstream"
LI CHAMPIONSHIP GAMES POSTPONED,,2376544648,Newspapers,"Baumbach, Jim",," Copyright Newsday LLC Mar 13, 2020", News," Mar 13, 2020", English, English," Long Island, N.Y.","Mar 13, 2020",Newsday,2020,https://search.proquest.com/docview/2376544648?accountid=37869, 41," Tournaments & championships , Stadiums , High school basketball , New York , Long Island New York",,"eLibrary,U.S. Newsstream"
Sad end for SBU's best year: SBU women now won't get a shot at NCAA tourney,,2376544640,Newspapers,"Baumbach, Jim"," America East Conference
813990 , National Collegiate Athletic Association--NCAA
813990"," Copyright Newsday LLC Mar 13, 2020", News," Mar 13, 2020", English, English," Long Island, N.Y.","Mar 13, 2020",Newsday,2020,https://search.proquest.com/docview/2376544640?accountid=37869, 44," Tournaments & championships , Women , Maine , Harrison, Jim",,"eLibrary,U.S. Newsstream"
FOUR LI HS CHAMPIONSHIP GAMES RESCHEDULED WITH RESTRICTIONS,,2376099994,Newspapers,"Baumbach, Jim",," Copyright Newsday LLC Mar 12, 2020", News," Mar 12, 2020", English, English," Long Island, N.Y.","Mar 12, 2020",Newsday,2020,https://search.proquest.com/docview/2376099994?accountid=37869, 49," Tournaments & championships , Coronaviruses , High school basketball , New York , Long Island New York",,"eLibrary,U.S. Newsstream"
ISLANDWIDE: PEOPLE URGED TO STAY AWAY FROM TOWN HALLS,,2376099972,Newspapers,,," Copyright Newsday LLC Mar 12, 2020", News," Mar 12, 2020", English, English," Long Island, N.Y.","Mar 12, 2020",Newsday,2020,https://search.proquest.com/docview/2376099972?accountid=37869, 29," Meetings , Older people , Coronaviruses , Towns , Phillips, Ted , Curran, Laura , Long Island New York",,"eLibrary,U.S. Newsstream"
GETTING YOUR FILL OF EMPANADAS: WHERE TO FIND THESE SAVORY POCKETS OF FLAVOR ON LI,,2376099968,Newspapers,"Marcus, Erica",," Copyright Newsday LLC Mar 12, 2020", News," Mar 12, 2020", English, English," Long Island, N.Y.","Mar 12, 2020",Newsday,2020,https://search.proquest.com/docview/2376099968?accountid=37869, 4," Pork , Rice , Recipes , Lettuce , Potatoes , Flour , Vegetarianism , Festivals , Restaurants , Colombia , Long Island New York",,"eLibrary,U.S. Newsstream"
HEMPSTEAD TOWN: A PLAN TO REPAIR FLOODING AND DRAINAGE ISSUES IN MANY NEIGHBORHOODS,,2375678302,Newspapers,"Coburn, Jesse",," Copyright Newsday LLC Mar 11, 2020", News," Mar 11, 2020", English, English," Long Island, N.Y.","Mar 11, 2020",Newsday,2020,https://search.proquest.com/docview/2375678302?accountid=37869, 19," Engineering firms , Floods , New York",,"eLibrary,U.S. Newsstream"
St. Joe won't host two girls state games: Coronavirus concerns leave officials looking for a site,,2375678299,Newspapers,"Baumbach, Jim"," Fordham University
611310"," Copyright Newsday LLC Mar 11, 2020", News," Mar 11, 2020", English, English," Long Island, N.Y.","Mar 11, 2020",Newsday,2020,https://search.proquest.com/docview/2375678299?accountid=37869, 38," Tournaments & championships , Girls , Children & youth , Teams , Coronaviruses , High school basketball , New York City New York , New York , Long Island New York",,"eLibrary,U.S. Newsstream"
Broadway offering $50 tickets: 5 shows to sell all remaining seats for March in wake of virus concerns,,2375678288,Newspapers,"Lovece, Frank"," Ticketmaster Entertainment Inc
561599"," Copyright Newsday LLC Mar 11, 2020", News," Mar 11, 2020", English, English," Long Island, N.Y.","Mar 11, 2020",Newsday,2020,https://search.proquest.com/docview/2375678288?accountid=37869, 16," Broadway theater , Books , Mormonism , Parker, Trey , New York City New York , Virginia , Woolf, Virginia (1882-1941) , Rudin, Scott , Sorkin, Aaron , Uganda , Mendes, Sam , Albee, Edward (1928-2016)",,"eLibrary,U.S. Newsstream"
FARMINGDALE ST. WON'T HOST 2 BOYS STATE GAMES AMID CORONAVIRUS SCARE,,2375414745,Newspapers,"Baumbach, Jim",," Copyright Newsday LLC Mar 10, 2020", News," Mar 10, 2020", English, English," Long Island, N.Y.","Mar 10, 2020",Newsday,2020,https://search.proquest.com/docview/2375414745?accountid=37869, 39," Coronaviruses , High school basketball",,"eLibrary,U.S. Newsstream"
CRIME &amp;amp; courts Hofstra suspends officer after incident,,2375414718,Newspapers,"Phillips, Ted"," Hofstra University
611310"," Copyright Newsday LLC Mar 10, 2020", News," Mar 10, 2020", English, English," Long Island, N.Y.","Mar 10, 2020",Newsday,2020,https://search.proquest.com/docview/2375414718?accountid=37869, 21," Public safety , Assaults , Phillips, Ted",,"eLibrary,U.S. Newsstream"
COMMUTER COMFORT: LIRR RIDERS SHARE TIPS ON HOW TO TRAVEL IN STYLE,,2374020631,Newspapers,"Giannotta, Meghan"," L L Bean Inc
316210
448110
448120
451110 , Police Department-New York City NY
922120 , Nassau Community College
611210 , Long Island Rail Road
485999"," Copyright Newsday LLC Mar 9, 2020", News," Mar 9, 2020", English, English," Long Island, N.Y.","Mar 9, 2020",Newsday,2020,https://search.proquest.com/docview/2374020631?accountid=37869, 4," Internships , Hair , Design , Students , Commuting , Athletic shoes , Headphones , Canada , Long Island New York",,"eLibrary,U.S. Newsstream"
BALDWIN IS KING AGAIN: MCKENZIE HELPS END UNIONDALE'S REIGN AS CHAMP,,2374020608,Newspapers,"Rubin, Roger",," Copyright Newsday LLC Mar 9, 2020", News," Mar 9, 2020", English, English," Long Island, N.Y.","Mar 9, 2020",Newsday,2020,https://search.proquest.com/docview/2374020608?accountid=37869, 40," High school basketball , Long Island New York",,"eLibrary,U.S. Newsstream"
"Elcock, Bruins extend streak: Her 25 points lead Baldwin to 7th straight title",,2374020592,Newspapers,"O'Brien, Owen",," Copyright Newsday LLC Mar 9, 2020", News," Mar 9, 2020", English, English," Long Island, N.Y.","Mar 9, 2020",Newsday,2020,https://search.proquest.com/docview/2374020592?accountid=37869, 41," High school basketball , Long Island New York",,"eLibrary,U.S. Newsstream"
A SCAM COST HER $504G IN SAVINGS: LI WOMAN'S LOSS PART OF GROWING INTERNET TREND,,2373468713,Newspapers,"McDermott, Maura"," Federal Bureau of Investigation--FBI
922120"," Copyright Newsday LLC Mar 8, 2020", News," Mar 8, 2020", English, English," Long Island, N.Y.","Mar 8, 2020",Newsday,2020,https://search.proquest.com/docview/2373468713?accountid=37869, 2," Electronic mail systems , Crime , Internet , Losses , Criminal investigations , Inheritances , Consumers , Comptrollers , Bar associations , Fraud , Washington DC",,"eLibrary,U.S. Newsstream"
"Embracing the water: Adults who never learned to swim conquer fears, then master strokes",,2373468692,Newspapers,"Solnik, Claude",," Copyright Newsday LLC Mar 8, 2020", News," Mar 8, 2020", English, English," Long Island, N.Y.","Mar 8, 2020",Newsday,2020,https://search.proquest.com/docview/2373468692?accountid=37869, 21," Triathlon , Students , Fear & phobias , Physical therapists , Sons , Swimming , Families & family life , Drownings , Older people , Learning , Adults , Skills , United States--US , Long Island New York",,"eLibrary,U.S. Newsstream"
Tuning in to greatness,,2373467717,Newspapers,"Williams, Jeff"," University of Georgia
611310 , Hofstra University
611310"," Copyright Newsday LLC Mar 8, 2020", News," Mar 8, 2020", English, English," Long Island, N.Y.","Mar 8, 2020",Newsday,2020,https://search.proquest.com/docview/2373467717?accountid=37869, 53," Careers , New York , Long Island New York",,"eLibrary,U.S. Newsstream"
"Evans, Amityville beat Brentwood: Lucas' four FTs help Warriors take Suffolk title",,2371582881,Newspapers,"Kersich, Peter",," Copyright Newsday LLC Mar 6, 2020", News," Mar 6, 2020", English, English," Long Island, N.Y.","Mar 6, 2020",Newsday,2020,https://search.proquest.com/docview/2371582881?accountid=37869, 41," High school basketball , Long Island New York",,"eLibrary,U.S. Newsstream"
TOUGH NORTHPORT DEFENSE LOCKS DOWN SUFFOLK TITLE,,2371581993,Newspapers,"Amato, Laura"," Energizer
335912"," Copyright Newsday LLC Mar 6, 2020", News," Mar 6, 2020", English, English," Long Island, N.Y.","Mar 6, 2020",Newsday,2020,https://search.proquest.com/docview/2371581993?accountid=37869, 41," Tournaments & championships , High school basketball , Long Island New York",,"eLibrary,U.S. Newsstream"
"'Everybody wanted to get glory': How prosecutors went after Sonny Franzese on murder, robbery charges",,2370971177,Newspapers,"Peddie, Sandra"," Federal Bureau of Investigation--FBI
922120"," Copyright Newsday LLC Mar 5, 2020", News," Mar 5, 2020", English, English," Long Island, N.Y.","Mar 5, 2020",Newsday,2020,https://search.proquest.com/docview/2370971177?accountid=37869, 8," Organized crime , Convictions , Bars , Acquittals & mistrials , Home invasion , Bank robberies , Trials , Human remains , Public prosecutors , United States--US , New York",,"eLibrary,U.S. Newsstream"
"LONG ISLAND: LYNN EVANS MAND, 95, CHORDETTES SINGER",,2370314993,Newspapers,"Abraham, Betsy"," Hofstra University
611310"," Copyright Newsday LLC Mar 4, 2020", News," Mar 4, 2020", English, English," Long Island, N.Y.","Mar 4, 2020",Newsday,2020,https://search.proquest.com/docview/2370314993?accountid=37869, 30," Special education , Assisted living facilities , Musical performances , School districts , Florida , North Carolina , New York , Ohio , Martin, Dean , Delaware , Lewis, Jerry , Long Island New York",,"eLibrary,U.S. Newsstream"
N. Baldwin woman dies in parkway crash,,2325706041,Newspapers,"Valenti, John"," Nassau University Medical Center
622110"," Copyright Newsday LLC Dec 14, 2019", News," Dec 14, 2019", English, English," Long Island, N.Y.","Dec 14, 2019",Newsday,2019,https://search.proquest.com/docview/2325706041?accountid=37869, 13, State police,,"eLibrary,U.S. Newsstream"
Baldwin's Wash releasing 1st album since 2013,,2323325299,Newspapers,"Lovece, Frank"," Rolling Stone
511120 , Music Factory
511210"," Copyright Newsday LLC Dec 11, 2019", News," Dec 11, 2019", English, English," Long Island, N.Y.","Dec 11, 2019",Newsday,2019,https://search.proquest.com/docview/2323325299?accountid=37869, 18," Musicians & conductors , Musical performances , Singers , Grammy awards , Tatum, Channing , San Francisco California",,"eLibrary,U.S. Newsstream"
BALDWIN MAN PLEADS GUILTY IN CRASH THAT KILLED RETIRED PRIEST,,2314683075,Newspapers,"Dowdy, Zachary R",," Copyright Newsday LLC Nov 16, 2019", News," Nov 16, 2019", English, English," Long Island, N.Y.","Nov 16, 2019",Newsday,2019,https://search.proquest.com/docview/2314683075?accountid=37869, 14," Manslaughter , Long Island New York , Singas, Madeline",,"eLibrary,U.S. Newsstream"
Big-time ribbing at Baldwin 'Comedy Central Roast',,2290723997,Newspapers,"Lovece, Frank"," Comedy Central
515210"," Copyright Newsday LLC Sep 16, 2019", News," Sep 16, 2019", English, English," Long Island, N.Y.","Sep 16, 2019",Newsday,2019,https://search.proquest.com/docview/2290723997?accountid=37869, 14," Actors , Baldwin, Alec , Trump, Donald J , Ireland , Spain , Messing, Debra , Basinger, Kim , De Niro, Robert , Long Island New York , Majorca , California , Griffin, Blake , Jenner, Caitlyn",,"eLibrary,U.S. Newsstream"
A chance for Baldwin to become its best self,,2273656267,Newspapers,,," Copyright Newsday LLC Aug 16, 2019"," Opinions , Editorial"," Aug 16, 2019", English, English," Long Island, N.Y.","Aug 16, 2019",Newsday,2019,https://search.proquest.com/docview/2273656267?accountid=37869, 26," Editorials , Long Island New York",,"eLibrary,U.S. Newsstream"
"De Niro, more to roast Baldwin on Comedy Central",,2272150431,Newspapers,"Lovece, Frank"," Comedy Central
515210"," Copyright Newsday LLC Aug 13, 2019", News," Aug 13, 2019", English, English," Long Island, N.Y.","Aug 13, 2019",Newsday,2019,https://search.proquest.com/docview/2272150431?accountid=37869, 16," Advertising campaigns , Comedies , Baldwin, Alec , Griffin, Blake , Los Angeles California , Jenner, Caitlyn , Messing, Debra , Scorsese, Martin , De Niro, Robert",,"eLibrary,U.S. Newsstream"
Baldwin to be butt of jokes in TV roast,,2238695417,Newspapers,"Lovece, Frank"," Comedy Central
515210"," Copyright Newsday LLC Jun 6, 2019", News," Jun 6, 2019", English, English," Long Island, N.Y.","Jun 6, 2019",Newsday,2019,https://search.proquest.com/docview/2238695417?accountid=37869, 9," Awards & honors , Baldwin, Alec , Franco, James , Willis, Bruce , New York City New York , New York , Lowe, Rob , Scorsese, Martin , Bieber, Justin",,"eLibrary,U.S. Newsstream"
Baldwin to star as iconic automaker DeLorean,,2188531407,Newspapers,"Guzmán, Rafer"," Tribeca Film Festival
512131
711320 , General Motors Corp
333415
336111
336390"," Copyright Newsday LLC Mar 7, 2019", News," Mar 7, 2019", English, English," Long Island, N.Y.","Mar 7, 2019",Newsday,2019,https://search.proquest.com/docview/2188531407?accountid=37869, 20," Automobile industry , Baldwin, Alec , Fox, Michael J",,"eLibrary,U.S. Newsstream"
Baldwin's ABC talk show moving to Saturdays,,2130235606,Newspapers,," Hollywood Reporter
511140"," Copyright Newsday LLC Nov 7, 2018", News," Nov 7, 2018", English, English," Long Island, N.Y.","Nov 7, 2018",Newsday,2018,https://search.proquest.com/docview/2130235606?accountid=37869, 19," Target markets , Talk shows , Baldwin, Alec , Long Island New York",,"eLibrary,U.S. Newsstream"
Baldwin's new show isn't much smart Alec,,2120103621,Newspapers,"Gay, Verne",," Copyright Newsday LLC Oct 16, 2018", News," Oct 16, 2018", English, English," Long Island, N.Y.","Oct 16, 2018",Newsday,2018,https://search.proquest.com/docview/2120103621?accountid=37869, 18," Husbands , Theft , Child custody , Wives , Talk shows , Baldwin, Alec , Henson, Taraji P , Michaels, Lorne , De Niro, Robert",,"eLibrary,U.S. Newsstream"
househunting: Open houses in BALDWIN this weekend,,2116333405,Newspapers,"Donahue-Smukler, Ann",," Copyright Newsday LLC Oct 5, 2018", News," Oct 5, 2018", English, English," Long Island, N.Y.","Oct 5, 2018",Newsday,2018,https://search.proquest.com/docview/2116333405?accountid=37869, 7,,,"eLibrary,U.S. Newsstream"
NOTEBOOK: BALDWIN SCHOOL RECEIVES HONOR,,2110779806,Newspapers,"Ebert, Michael R",," Copyright Newsday LLC Sep 23, 2018", News," Sep 23, 2018", English, English," Long Island, N.Y.","Sep 23, 2018",Newsday,2018,https://search.proquest.com/docview/2110779806?accountid=37869, 22," Middle schools , Elementary schools , School principals , Nonprofit organizations , Long Island New York , Hawthorne, Nathaniel (1804-1864)",,"eLibrary,U.S. Newsstream"
"2 TDs for Manigault, Parkin carry Baldwin",,2110779563,Newspapers,,," Copyright Newsday LLC Sep 23, 2018", News," Sep 23, 2018", English, English," Long Island, N.Y.","Sep 23, 2018",Newsday,2018,https://search.proquest.com/docview/2110779563?accountid=37869, 4, Merchandising,,"eLibrary,U.S. Newsstream"
Report: Baldwin to play Batman's dad in film,,2095196710,Newspapers,"Lovece, Frank"," Hollywood Reporter
511140 , Warner Bros Entertainment Inc
512110"," Copyright Newsday LLC Aug 29, 2018", News," Aug 29, 2018", English, English," Long Island, N.Y.","Aug 29, 2018",Newsday,2018,https://search.proquest.com/docview/2095196710?accountid=37869, 17," Superheroes , Motion pictures , Baldwin, Alec , Leto, Jared , Trump, Donald J , Maron, Marc , De Niro, Robert , Phoenix, Joaquin",,"eLibrary,U.S. Newsstream"
Nassau police probe shots fired at Baldwin McDonald's,,2045941948,Newspapers,"Spangler, Nicholas"," Crime Stoppers
813319"," Copyright Newsday Inc. May 29, 2018", News," May 29, 2018", English, English," Long Island, N.Y.","May 29, 2018",Newsday,2018,https://search.proquest.com/docview/2045941948?accountid=37869,, Criminal investigations,,"eLibrary,U.S. Newsstream"
from hollywoodlife.com: Baldwin on Bieber,,2045941942,Newspapers,HollywoodLifecom," HollywoodLife.com
519130 , Sunday Times
511110"," Copyright Newsday Inc. May 29, 2018", News," May 29, 2018", English, English," Long Island, N.Y.","May 29, 2018",Newsday,2018,https://search.proquest.com/docview/2045941942?accountid=37869, 16," Bieber, Justin",,"eLibrary,U.S. Newsstream"
"Baldwin man missing since Tuesday located, police say",,2043027847,Newspapers,"Murphy, William",," Copyright Newsday Inc. May 24, 2018", News," May 24, 2018", English, English," Long Island, N.Y.","May 24, 2018",Newsday,2018,https://search.proquest.com/docview/2043027847?accountid=37869,, Missing persons,,"eLibrary,U.S. Newsstream"
Baldwins reveal new son's name,,2042066023,Newspapers,"Lovece, Frank",," Copyright Newsday Inc. May 22, 2018", News," May 22, 2018", English, English," Long Island, N.Y.","May 22, 2018",Newsday,2018,https://search.proquest.com/docview/2042066023?accountid=37869, 17,,,"eLibrary,U.S. Newsstream"
Baldwin's Kaia Harrison commits to play basketball at Wake Forest,,2033620242,Newspapers,"Rose, Mike"," Wake Forest University
611310 , Atlantic Coast Conference
813990 , Twitter Inc
519130"," Copyright Newsday Inc. May 3, 2018", News," May 3, 2018", English, English," Long Island, N.Y.","May 3, 2018",Newsday,2018,https://search.proquest.com/docview/2033620242?accountid=37869,," Tournaments & championships , Coaches & managers , High school basketball , Michigan , Long Island New York , Georgia",,"eLibrary,U.S. Newsstream"
Cops: Teen arranged heroin sale in Baldwin on Craigslist,,2033182328,Newspapers,"Valenti, John",," Copyright Newsday Inc. May 2, 2018", News," May 2, 2018", English, English," Long Island, N.Y.","May 2, 2018",Newsday,2018,https://search.proquest.com/docview/2033182328?accountid=37869,," Heroin , Arrests , Criminal investigations , Long Island New York",,"eLibrary,U.S. Newsstream"
Cops: Shell casings found after shots fired in Baldwin,,2026323887,Newspapers,"Valenti, John"," Crime Stoppers
813319"," Copyright Newsday Inc. Apr 18, 2018", News," Apr 18, 2018", English, English," Long Island, N.Y.","Apr 18, 2018",Newsday,2018,https://search.proquest.com/docview/2026323887?accountid=37869,,,,"eLibrary,U.S. Newsstream"
Cops: Vehicle crashes into Baldwin dry cleaning business,,2022934863,Newspapers,"Irizarry, Lisa",," Copyright Newsday Inc. Apr 9, 2018", News," Apr 9, 2018", English, English," Long Island, N.Y.","Apr 9, 2018",Newsday,2018,https://search.proquest.com/docview/2022934863?accountid=37869,, Dry cleaners,,"eLibrary,U.S. Newsstream"
"Suspect sought in Baldwin bowling center slashing, police say",,2019983275,Newspapers,"Clukey, Keshia"," Crime Stoppers
813319"," Copyright Newsday Inc. Mar 31, 2018", News," Mar 31, 2018", English, English," Long Island, N.Y.","Mar 31, 2018",Newsday,2018,https://search.proquest.com/docview/2019983275?accountid=37869,,,,"eLibrary,U.S. Newsstream"
"Baldwin man, teens charged after online gun video, cops say",,2018964714,Newspapers,"Dowdy, Zachary R"," Snap Inc
511210"," Copyright Newsday Inc. Mar 28, 2018", News," Mar 28, 2018", English, English," Long Island, N.Y.","Mar 28, 2018",Newsday,2018,https://search.proquest.com/docview/2018964714?accountid=37869,," Minors , Arrests , Criminal investigations , Robbery , Firearms",,"eLibrary,U.S. Newsstream"
Hudson's 21 help Baldwin in Brown tourney,,1980947671,Newspapers,,," (Copyright Newsday Inc., 2017)", News," Dec 28, 2017", English, English," Long Island, N.Y.","Dec 28, 2017",Newsday,2017,https://search.proquest.com/docview/1980947671?accountid=37869, n/a,,,"eLibrary,U.S. Newsstream"
"Baldwin man finds female intruder in home, cops say",,1962115252,Newspapers,"Yan, Ellen",," (Copyright Newsday Inc., 2017)", News," Nov 10, 2017", English, English," Long Island, N.Y.","Nov 10, 2017",Newsday,2017,https://search.proquest.com/docview/1962115252?accountid=37869, n/a,,,"eLibrary,U.S. Newsstream"
Donations pour in for Baldwin firefighter with Stage 4 cancer,,1956433381,Newspapers,"Blasey, Laura"," GoFundMe
518210"," (Copyright Newsday Inc., 2017)", News," Oct 28, 2017", English, English," Long Island, N.Y.","Oct 28, 2017",Newsday,2017,https://search.proquest.com/docview/1956433381?accountid=37869, n/a," Fund raising , Fires , Firefighters , Cancer therapies",,"eLibrary,U.S. Newsstream"
"Baldwin school district didn't preapprove OT, audit reports",,1948913820,Newspapers,"Dazio, Stefanie",," (Copyright Newsday Inc., 2017)", News," Oct 10, 2017", English, English," Long Island, N.Y.","Oct 10, 2017",Newsday,2017,https://search.proquest.com/docview/1948913820?accountid=37869, n/a," Audits , School superintendents , Employees , Overtime , Comptrollers , DiNapoli, Thomas P",,"eLibrary,U.S. Newsstream"
Baldwin man acquitted of stabbing outside restaurant-bar,,1947782594,Newspapers,"Yan, Ellen",," (Copyright Newsday Inc., 2017)", News," Oct 7, 2017", English, English," Long Island, N.Y.","Oct 7, 2017",Newsday,2017,https://search.proquest.com/docview/1947782594?accountid=37869, n/a," Acquittals & mistrials , Attorneys , Sunday legislation",,"eLibrary,U.S. Newsstream"
Alec Baldwin attends National Geographic ocean experience,,1946959146,Newspapers,"Alvarez, Maria",," (Copyright Newsday Inc., 2017)", News," Oct 5, 2017", English, English," Long Island, N.Y.","Oct 5, 2017",Newsday,2017,https://search.proquest.com/docview/1946959146?accountid=37869, n/a," Climate change , Trump, Donald J , South Pacific , North America , Solomon Islands",,"eLibrary,U.S. Newsstream"
Nassau County seeks new life for historic Baldwin home,,1940077620,Newspapers,"Dazio, Stefanie",," (Copyright Newsday Inc., 2017)", News," Sep 19, 2017", English, English," Long Island, N.Y.","Sep 19, 2017",Newsday,2017,https://search.proquest.com/docview/1940077620?accountid=37869, n/a," County executives , History , Community",,"eLibrary,U.S. Newsstream"
"In Baldwin school, learning happens in the summer garden",,1933506122,Newspapers,"Moran, Katherine",," (Copyright Newsday Inc., 2017)", News," Aug 30, 2017", English, English," Long Island, N.Y.","Aug 30, 2017",Newsday,2017,https://search.proquest.com/docview/1933506122?accountid=37869, n/a," Gardens & gardening , Summer , Elementary school students , Learning , School districts",,"eLibrary,U.S. Newsstream"
Nassau police look for missing Baldwin woman,,1927110805,Newspapers,,," (Copyright Newsday Inc., 2017)", News," Aug 9, 2017", English, English," Long Island, N.Y.","Aug 9, 2017",Newsday,2017,https://search.proquest.com/docview/1927110805?accountid=37869, n/a, Missing persons,,"eLibrary,U.S. Newsstream"
Who's Cooking: Marian Ango of Baldwin,,1926285481,Newspapers,"Chattman, Lauren",," (Copyright Newsday Inc., 2017)", News," Aug 6, 2017", English, English," Long Island, N.Y.","Aug 6, 2017",Newsday,2017,https://search.proquest.com/docview/1926285481?accountid=37869, n/a, Recipes,,"eLibrary,U.S. Newsstream"
